,mseDHP,stdDHP,mseDPH,stdDPH,mseSDHP,stdSDHP,mseSDPH,stdSDPH,mseGANHP,stdGANHP,mseGANPH,stdGANPH
0,0.064428764,0.011445351,0.03292917,0.007447344,0.118450948,0.014605992,0.073674745,0.012715342,0.055380169,0.004673175,0.036983943,0.002853173
1,0.064964948,0.008731291,0.030286156,0.004571316,0.118181462,0.014668751,0.075717328,0.01864507,0.056078185,0.005931629,0.037645598,0.003034466
2,0.067545125,0.011084237,0.032844736,0.009197827,0.11841191,0.016746324,0.074747574,0.015721307,0.061469026,0.008789547,0.038513998,0.003884667
3,0.070978864,0.011360456,0.033414242,0.008496056,0.117746186,0.015699887,0.078395435,0.019247264,0.060375615,0.006790844,0.037945877,0.003213892
4,0.07557353,0.012284416,0.033741962,0.00401197,0.113475578,0.01057882,0.070149999,0.011269479,0.062466193,0.005928214,0.037788112,0.001897063
