,mseDHP,stdDHP,mseDPH,stdDPH,mseSDHP,stdSDHP,mseSDPH,stdSDPH,mseGANHP,stdGANHP,mseGANPH,stdGANPH
0,0.193280557,0.015603828,0.076126618,0.014562254,0.20641053,0.013653435,0.113807587,0.018510028,0.185302645,0.010691493,0.081474086,0.007288679
1,0.18890864,0.012406309,0.074589588,0.009917053,0.215274431,0.016387732,0.118002752,0.021186448,0.190692521,0.014746355,0.083181905,0.012619197
2,0.191332496,0.013580305,0.071954662,0.01117695,0.217738707,0.019348847,0.131971761,0.02300396,0.183930726,0.01112492,0.079603752,0.013025587
3,0.18921325,0.013509155,0.073974091,0.012112913,0.222918896,0.020688582,0.140696558,0.03549595,0.182528955,0.015303569,0.086235868,0.011341817
4,0.192167424,0.010174343,0.07928542,0.015090962,0.211526861,0.018172702,0.12636485,0.023959396,0.189772404,0.013057849,0.081614138,0.009904509
